id,racun_id,znesek,datum
82,258,711.58,2022-03-14
83,85,645.98,2022-10-19
84,924,880.08,2023-12-15
85,198,620.0,2023-12-25
86,596,530.39,2023-05-06
87,106,668.98,2022-03-04
88,29,236.99,2022-08-08
89,479,564.91,2022-08-15
90,818,180.46,2023-08-27
91,329,771.51,2022-05-13
92,671,237.76,2022-01-12
93,648,654.91,2022-11-05
94,844,993.44,2023-02-14
95,214,909.66,2022-11-09
96,793,769.13,2023-04-05
97,281,5.54,2023-02-07
98,680,306.01,2022-10-29
99,337,752.87,2022-06-28
100,782,352.99,2022-03-04
101,451,471.56,2022-09-14
102,884,370.93,2022-11-30
103,576,224.88,2022-08-22
104,497,154.85,2023-10-04
105,345,922.52,2022-06-11
106,665,380.02,2022-04-13
107,557,383.15,2022-01-27
108,270,763.65,2022-04-30
109,177,750.12,2022-07-02
110,274,668.5,2022-05-27
111,492,40.16,2022-02-15
112,919,204.47,2022-02-24
113,402,385.93,2023-07-23
114,536,274.61,2022-05-05
115,762,936.55,2023-03-10
116,251,688.71,2023-04-03
117,595,790.44,2023-06-19
118,319,18.75,2022-04-12
119,39,70.68,2023-11-27
120,313,61.64,2023-09-19
121,184,298.57,2023-11-11
122,473,606.43,2023-04-23
123,949,854.58,2023-04-21
124,511,382.74,2022-11-21
125,337,593.93,2022-04-15
126,2,676.43,2023-12-17
127,245,290.93,2022-08-22
128,586,346.84,2023-12-04
129,22,124.25,2022-11-02
130,968,304.82,2023-08-17
131,450,986.91,2023-10-03
132,528,246.3,2023-11-15
133,734,822.88,2022-07-09
134,720,203.4,2022-11-27
135,66,765.26,2022-07-15
136,3,155.83,2023-11-12
137,876,744.3,2023-10-08
138,848,911.17,2022-05-16
139,6,321.47,2023-11-27
140,377,185.11,2023-07-22
141,910,651.74,2023-09-21
142,685,895.46,2023-10-21
143,341,289.3,2022-08-21
144,580,345.46,2022-06-07
145,873,91.56,2022-01-02
146,718,124.17,2023-05-08
147,712,514.17,2022-04-07
148,92,135.93,2022-03-13
149,648,156.69,2023-12-01
150,716,490.72,2023-09-28
151,811,916.88,2022-02-23
152,321,897.51,2023-11-25
153,947,661.7,2022-11-16
154,302,847.06,2023-05-22
155,938,753.89,2022-04-30
156,18,939.8,2023-07-17
157,742,941.86,2023-02-26
158,599,935.39,2022-08-28
159,16,58.19,2023-07-09
160,697,141.33,2023-04-18
161,298,93.63,2023-09-26
162,530,913.62,2022-10-18
163,49,331.95,2022-01-12
164,163,236.16,2023-11-19
165,288,746.43,2022-09-01
166,752,820.89,2022-12-02
167,801,636.17,2022-11-22
168,922,270.07,2023-05-19
169,711,803.87,2023-02-25
170,459,591.77,2022-10-13
171,393,494.49,2022-09-06
172,916,869.51,2022-05-11
173,376,563.43,2022-02-03
174,771,468.18,2023-11-11
175,694,535.06,2023-05-08
176,300,479.91,2023-08-25
177,974,798.74,2022-11-06
178,411,534.35,2023-06-13
179,979,956.51,2022-07-27
180,729,214.84,2022-06-26
181,526,327.16,2022-07-01
182,30,303.47,2023-11-27
183,204,509.79,2022-03-20
184,51,129.41,2023-06-18
185,528,256.64,2023-05-06
186,341,756.61,2022-07-22
187,262,31.14,2023-01-20
188,601,424.89,2022-04-05
189,427,592.02,2023-09-27
190,812,578.67,2023-02-01
191,69,462.45,2023-10-30
192,832,141.89,2022-10-30
193,239,521.4,2022-04-03
194,96,408.24,2023-02-19
195,110,402.62,2023-04-21
196,898,228.45,2023-07-29
197,347,205.11,2023-01-12
198,498,996.71,2022-03-03
199,627,249.96,2023-08-17
200,622,562.33,2022-04-15
201,676,364.37,2023-12-09
202,770,182.73,2023-09-28
203,160,257.48,2022-08-24
204,983,75.18,2022-04-30
205,928,854.68,2022-05-18
206,137,282.66,2023-08-12
207,463,982.92,2022-01-25
208,929,995.02,2023-12-03
209,311,246.94,2022-11-11
210,203,898.53,2022-04-18
211,405,728.27,2023-10-22
212,937,127.25,2023-09-02
213,717,691.18,2023-09-29
214,537,204.3,2022-10-13
215,379,145.77,2022-04-09
216,52,554.69,2022-03-26
217,640,830.88,2023-02-04
218,807,386.06,2023-01-23
219,19,31.9,2023-10-13
220,162,37.01,2023-07-15
221,856,818.5,2022-10-24
222,609,330.29,2022-05-24
223,880,521.49,2022-05-13
224,79,983.95,2022-01-05
225,1000,203.1,2022-12-25
226,314,533.01,2023-10-26
227,827,842.63,2022-04-20
228,744,834.71,2023-12-10
229,820,124.03,2023-11-21
230,239,175.4,2023-01-21
231,711,133.73,2023-08-25
232,247,961.95,2022-08-04
233,411,25.99,2022-11-26
234,566,701.4,2022-06-19
235,545,935.74,2023-02-07
236,783,489.72,2022-02-11
237,980,234.22,2023-08-25
238,624,890.22,2023-09-19
239,28,689.44,2022-12-26
240,266,745.57,2022-04-02
241,734,91.42,2023-10-06
242,791,392.41,2022-08-02
243,543,381.13,2023-11-23
244,930,683.97,2023-04-29
245,843,443.25,2023-12-22
246,614,186.93,2023-08-25
247,592,345.21,2023-08-23
248,793,681.54,2022-09-19
249,254,847.23,2023-10-05
250,987,404.07,2022-08-27
251,431,657.53,2023-12-19
252,986,761.61,2022-10-11
253,979,317.64,2022-12-15
254,375,549.54,2023-10-31
255,869,470.69,2022-09-09
256,147,679.96,2022-07-10
257,868,437.03,2022-08-09
258,642,526.4,2022-10-24
259,548,107.5,2022-01-15
260,732,197.0,2023-07-29
261,51,187.82,2023-06-24
262,885,117.24,2022-03-04
263,373,632.93,2022-09-15
264,808,507.13,2022-08-06
265,759,14.83,2022-03-17
266,363,335.1,2022-02-27
267,1000,871.54,2022-02-13
268,159,534.38,2022-06-13
269,138,979.1,2022-08-27
270,798,551.77,2023-07-09
271,652,225.09,2022-08-19
272,355,696.99,2023-09-01
273,490,378.9,2023-12-28
274,669,766.24,2023-03-10
275,305,848.65,2023-02-02
276,260,575.63,2023-10-09
277,443,322.73,2022-09-30
278,670,727.41,2023-11-12
279,452,109.75,2023-10-22
280,905,64.5,2023-07-18
281,182,316.98,2023-06-07
282,24,819.27,2022-06-30
283,377,753.34,2023-03-11
284,163,350.73,2022-09-19
285,660,93.45,2023-02-18
286,818,637.99,2022-11-02
287,819,107.39,2022-05-31
288,291,82.58,2022-02-05
289,135,338.62,2022-10-15
290,244,807.19,2022-11-12
291,345,311.77,2023-11-08
292,858,716.19,2022-07-13
293,146,356.18,2023-09-17
294,99,146.24,2022-09-30
295,115,684.82,2022-01-16
296,485,514.22,2022-11-21
297,327,355.54,2023-10-11
298,37,942.26,2023-04-17
299,972,908.5,2023-12-20
300,308,871.46,2023-03-25
301,925,272.9,2022-09-16
302,330,850.83,2022-07-05
303,908,811.35,2022-02-28
304,687,186.9,2022-05-05
305,562,312.26,2022-10-15
306,944,451.15,2023-02-09
307,647,268.31,2022-01-26
308,968,167.87,2023-02-09
309,480,234.04,2023-06-01
310,630,24.39,2022-06-19
311,199,835.62,2022-04-23
312,813,112.56,2023-12-10
313,581,605.52,2022-12-08
314,342,200.3,2023-08-06
315,789,551.42,2023-11-14
316,683,590.46,2023-04-18
317,555,435.76,2022-02-04
318,442,57.1,2022-09-17
319,98,114.71,2022-12-13
320,970,148.54,2022-07-24
321,281,654.01,2022-04-14
322,530,877.13,2022-07-24
323,287,833.4,2022-01-07
324,130,69.24,2022-01-18
325,461,573.96,2023-07-16
326,671,302.74,2023-01-22
327,845,23.11,2022-07-13
328,303,744.41,2022-08-08
329,694,203.93,2023-06-24
330,426,439.72,2022-09-03
331,882,276.02,2022-01-11
332,844,716.3,2023-01-22
333,483,810.88,2022-02-03
334,279,339.97,2023-01-10
335,588,512.63,2023-07-26
336,617,267.8,2022-09-19
337,998,425.25,2023-12-08
338,11,25.34,2022-11-26
339,166,821.0,2022-11-17
340,909,36.7,2023-07-13
341,147,481.03,2022-07-25
342,72,72.64,2022-02-04
343,598,544.49,2022-07-05
344,260,839.06,2022-03-19
345,345,239.48,2023-03-12
346,414,247.87,2023-12-25
347,438,276.35,2023-01-09
348,502,313.88,2023-09-12
349,83,202.21,2023-12-01
350,517,42.08,2023-04-14
351,883,402.83,2023-09-28
352,204,646.03,2022-12-02
353,389,4.33,2022-01-19
354,863,139.72,2022-07-30
355,344,634.89,2022-01-20
356,28,833.9,2023-11-23
357,348,973.5,2023-05-16
358,560,350.93,2023-04-26
359,595,317.5,2023-09-06
360,827,109.25,2023-09-21
361,381,295.72,2023-07-28
362,876,693.12,2023-03-08
363,374,773.04,2023-09-07
364,254,29.21,2022-07-15
365,180,987.84,2023-09-09
366,307,740.62,2022-12-08
367,632,817.56,2022-07-28
368,299,193.26,2023-04-17
369,161,107.51,2023-12-01
370,835,931.03,2023-05-13
371,734,801.13,2022-07-01
372,945,248.21,2023-11-27
373,20,212.23,2022-05-13
374,992,672.54,2022-07-16
375,562,565.23,2023-01-26
376,962,34.57,2023-12-14
377,268,783.0,2023-11-11
378,324,903.77,2022-09-16
379,134,882.16,2023-04-08
380,567,833.31,2022-05-21
381,801,731.95,2023-12-19
382,310,406.28,2022-06-21
383,355,569.96,2023-02-20
384,843,147.4,2023-08-30
385,117,256.09,2023-10-31
386,794,588.89,2022-03-05
387,359,765.11,2023-05-21
388,525,914.27,2023-02-22
389,482,276.65,2023-03-26
390,281,87.45,2023-10-01
391,669,49.47,2023-03-11
392,392,137.31,2022-06-26
393,622,472.66,2023-06-15
394,46,124.25,2022-06-26
395,943,222.09,2022-10-29
396,727,625.69,2023-08-06
397,145,841.74,2022-10-08
398,431,557.95,2022-07-04
399,147,877.14,2023-04-15
400,184,269.55,2023-01-13
401,265,477.72,2022-08-26
402,155,778.16,2023-07-11
403,812,200.49,2022-02-17
404,345,751.05,2023-01-15
405,191,153.37,2022-01-24
406,114,270.78,2022-07-01
407,749,892.05,2023-06-15
408,685,125.92,2023-02-05
409,91,152.07,2023-10-03
410,911,672.73,2023-03-18
411,776,629.2,2023-11-16
412,173,57.74,2022-10-24
413,608,738.82,2023-06-10
414,684,813.02,2022-03-20
415,477,305.22,2022-08-03
416,538,803.92,2022-07-17
417,386,336.65,2023-05-11
418,560,926.41,2023-08-07
419,331,275.91,2022-05-27
420,792,888.14,2023-11-15
421,498,961.68,2023-07-07
422,222,947.26,2023-08-04
423,165,262.81,2022-05-21
424,603,240.88,2022-12-21
425,306,834.99,2023-09-02
426,578,285.11,2023-06-02
427,995,797.74,2022-09-21
428,645,713.02,2023-11-08
429,805,88.07,2023-07-20
430,61,481.82,2023-08-29
431,943,103.73,2022-09-17
432,14,123.08,2023-12-24
433,878,336.46,2023-03-24
434,789,498.49,2023-07-13
435,949,788.46,2022-03-25
436,388,113.43,2023-09-07
437,806,482.65,2022-04-14
438,659,978.03,2023-08-05
439,664,641.93,2023-08-05
440,469,80.67,2022-09-19
441,643,107.64,2022-02-08
442,831,876.11,2023-05-08
443,619,675.58,2023-06-24
444,724,624.72,2022-03-26
445,753,178.6,2022-05-29
446,901,347.36,2022-01-25
447,622,231.36,2022-04-26
448,108,548.83,2023-11-03
449,736,386.17,2022-08-14
450,688,512.06,2022-11-10
451,221,246.76,2023-09-16
452,700,807.0,2022-01-05
453,172,105.8,2022-11-11
454,137,917.68,2022-10-20
455,832,14.64,2023-03-02
456,963,379.56,2022-03-12
457,657,819.09,2022-05-05
458,609,589.0,2023-12-14
459,622,436.37,2023-06-09
460,338,73.44,2023-10-04
461,184,750.23,2022-10-23
462,286,970.27,2023-11-24
463,399,101.79,2022-09-28
464,470,841.77,2023-02-10
465,678,854.99,2022-02-22
466,478,3.15,2023-07-31
467,311,681.07,2023-06-06
468,569,122.14,2022-07-17
469,350,373.05,2023-03-04
470,980,289.78,2022-06-05
471,621,405.22,2023-02-07
472,812,579.03,2022-08-14
473,833,672.97,2022-08-06
474,104,616.79,2022-09-30
475,887,110.96,2022-04-22
476,340,783.89,2023-03-04
477,884,977.14,2022-07-11
478,679,957.82,2023-02-24
479,407,745.69,2022-03-02
480,601,632.08,2022-06-23
481,525,69.73,2023-02-16
482,831,579.0,2023-12-02
483,989,978.11,2023-07-18
484,383,682.56,2023-11-26
485,75,370.87,2023-06-04
486,258,208.25,2023-11-04
487,305,306.56,2023-02-19
488,332,569.64,2023-11-23
489,427,401.25,2023-11-22
490,939,55.53,2023-06-10
491,393,265.58,2023-10-20
492,949,390.33,2023-06-02
493,30,54.13,2022-02-14
494,203,181.39,2022-09-25
495,522,696.09,2022-04-22
496,931,213.86,2022-04-19
497,542,426.75,2022-12-15
498,543,978.84,2022-05-08
499,356,859.33,2023-10-14
500,105,905.69,2022-09-04
501,39,348.3,2022-04-10
502,678,473.63,2023-07-05
503,153,209.25,2023-11-16
504,844,908.09,2023-01-07
505,919,351.01,2022-08-18
506,985,131.36,2022-09-23
507,774,492.08,2023-11-28
508,114,612.43,2022-08-02
509,826,675.23,2022-07-02
510,669,596.53,2023-01-10
511,437,570.86,2022-05-10
512,730,118.46,2022-04-04
513,954,168.59,2023-12-03
514,60,745.61,2022-01-06
515,628,753.91,2023-02-15
516,779,368.37,2022-12-02
517,551,326.28,2022-05-16
518,254,881.88,2022-08-14
519,320,331.17,2023-08-24
520,884,219.15,2022-08-20
521,248,400.75,2022-11-20
522,672,825.08,2022-08-20
523,683,89.82,2022-01-02
524,855,743.33,2022-01-31
525,198,323.42,2023-07-29
526,639,938.37,2022-12-12
527,990,476.63,2022-02-27
528,185,914.86,2022-07-12
529,815,833.52,2023-12-21
530,420,274.57,2023-04-05
531,619,552.7,2022-12-15
532,749,116.67,2023-04-26
533,929,234.91,2023-05-17
534,448,379.65,2022-04-11
535,781,196.88,2023-05-02
536,617,478.22,2022-07-22
537,3,608.65,2022-06-24
538,293,490.48,2023-12-25
539,583,644.76,2023-12-01
540,544,819.92,2023-11-07
541,752,603.49,2022-10-01
542,309,597.63,2023-07-24
543,426,855.55,2023-08-27
544,440,391.25,2022-11-24
545,750,60.79,2023-03-24
546,228,392.43,2022-11-20
547,433,345.4,2023-10-07
548,866,938.46,2023-04-01
549,659,589.93,2022-01-17
550,22,770.24,2022-06-20
551,333,795.57,2022-03-23
552,559,102.57,2023-06-20
553,850,855.48,2023-09-13
554,241,760.63,2023-12-25
555,841,529.47,2022-09-19
556,857,733.02,2022-12-13
557,824,749.62,2023-06-30
558,152,960.7,2022-10-30
559,937,348.25,2023-09-20
560,190,264.78,2022-10-29
561,868,492.09,2022-01-01
562,778,581.71,2022-07-27
563,999,483.93,2022-09-01
564,59,442.01,2022-07-03
565,707,961.63,2023-12-25
566,954,305.8,2023-06-09
567,811,65.29,2023-12-07
568,517,730.86,2022-02-11
569,613,287.75,2022-03-27
570,467,937.35,2022-08-25
571,419,84.15,2022-09-28
572,706,449.5,2022-08-29
573,664,445.86,2023-06-25
574,769,47.04,2022-07-04
575,552,4.99,2022-09-24
576,599,878.3,2022-06-19
577,639,771.02,2022-12-18
578,680,63.99,2023-02-16
579,615,398.24,2023-12-09
580,512,901.36,2022-09-08
581,632,29.79,2023-01-21
582,600,683.21,2022-10-12
583,747,897.39,2023-03-09
584,81,104.6,2023-02-25
585,683,520.52,2023-10-02
586,950,337.64,2022-09-20
587,286,583.2,2022-09-22
588,382,852.52,2022-03-03
589,510,632.82,2022-01-27
590,861,713.39,2022-06-01
591,723,539.89,2022-10-09
592,763,247.59,2023-04-29
593,736,346.88,2022-11-20
594,405,782.16,2023-12-25
595,313,389.0,2022-12-13
596,585,929.81,2023-11-20
597,406,49.72,2023-11-03
598,637,324.35,2022-11-23
599,913,945.47,2022-04-30
600,547,271.06,2023-05-15
601,147,414.85,2022-01-15
602,920,185.7,2022-12-14
603,253,602.37,2022-07-29
604,763,290.95,2023-01-01
605,968,810.82,2023-01-19
606,42,672.55,2023-03-31
607,960,798.38,2023-09-23
608,940,347.3,2023-10-15
609,843,612.76,2023-09-28
610,541,876.28,2023-01-24
611,969,17.58,2023-05-10
612,848,500.99,2023-10-22
613,870,162.01,2023-09-25
614,373,487.08,2022-03-02
615,803,996.65,2023-05-20
616,629,681.21,2022-01-31
617,178,369.22,2022-03-27
618,533,86.13,2022-09-03
619,286,858.93,2022-02-05
620,686,193.12,2022-11-19
621,559,612.79,2022-07-09
622,461,619.72,2022-11-18
623,628,203.48,2022-01-18
624,792,168.96,2023-02-17
625,552,913.52,2023-02-09
626,275,753.04,2022-11-08
627,862,146.09,2023-02-09
628,724,406.2,2022-06-08
629,634,234.85,2022-08-15
630,646,983.21,2023-03-06
631,502,185.18,2023-12-09
632,279,128.02,2023-07-22
633,600,195.16,2023-05-05
634,913,451.34,2023-10-18
635,171,664.63,2022-04-03
636,772,271.82,2023-08-16
637,754,345.88,2022-04-01
638,841,861.1,2023-03-30
639,238,136.35,2022-05-18
640,716,213.49,2023-07-19
641,278,240.05,2022-05-01
642,961,623.37,2023-05-18
643,702,922.92,2023-04-30
644,695,230.13,2023-03-28
645,361,252.35,2023-02-10
646,121,958.67,2023-08-04
647,220,68.77,2023-02-14
648,897,94.39,2023-09-07
649,259,560.21,2022-08-24
650,766,109.69,2023-02-07
651,473,185.57,2022-08-24
652,886,681.85,2023-03-27
653,836,144.0,2023-08-06
654,563,27.02,2022-11-07
655,695,524.59,2023-12-29
656,702,810.97,2023-06-16
657,82,550.13,2022-09-28
658,893,443.69,2022-08-23
659,643,172.03,2023-10-17
660,943,795.61,2023-06-05
661,729,988.49,2022-11-30
662,382,788.12,2023-03-04
663,118,698.27,2022-04-29
664,677,731.76,2023-01-17
665,520,149.17,2022-04-14
666,742,688.12,2023-06-26
667,375,760.52,2022-10-20
668,675,650.4,2022-06-27
669,748,830.14,2022-08-08
670,572,632.43,2022-12-25
671,639,655.23,2023-07-13
672,121,199.23,2022-01-12
673,700,187.11,2023-02-02
674,994,99.57,2022-11-23
675,829,465.14,2023-02-26
676,429,98.11,2022-07-04
677,834,82.8,2022-12-19
678,434,812.44,2023-02-28
679,442,626.2,2022-05-15
680,157,560.71,2023-08-02
681,654,501.5,2022-01-23
682,123,915.21,2022-10-15
683,408,246.73,2022-10-04
684,207,979.28,2023-08-15
685,181,229.46,2022-10-08
686,772,179.22,2022-07-22
687,608,428.21,2023-07-23
688,570,579.99,2022-10-28
689,210,836.13,2023-10-12
690,978,509.52,2023-02-08
691,614,412.38,2022-05-19
692,501,140.64,2023-09-05
693,415,65.55,2023-01-18
694,294,864.67,2022-03-28
695,108,170.97,2023-05-14
696,762,399.12,2023-04-24
697,657,286.21,2022-07-12
698,314,392.74,2022-08-08
699,706,272.92,2023-08-31
700,330,84.09,2022-03-07
701,695,572.01,2023-03-09
702,996,624.05,2022-09-20
703,528,316.13,2022-07-29
704,275,860.46,2023-04-08
705,630,697.16,2022-01-21
706,14,422.82,2022-04-30
707,977,60.19,2023-06-20
708,110,392.66,2023-04-22
709,397,325.16,2022-08-06
710,554,229.89,2023-11-02
711,516,496.7,2022-08-15
712,196,600.4,2023-07-07
713,628,922.33,2022-02-06
714,518,477.04,2022-06-09
715,93,34.93,2023-03-12
716,197,912.33,2023-02-05
717,595,388.16,2022-06-21
718,83,843.57,2023-01-29
719,426,672.42,2022-12-21
720,154,285.52,2022-03-16
721,53,539.89,2023-01-09
722,969,427.77,2022-04-07
723,84,287.89,2022-10-10
724,314,37.45,2023-12-03
725,444,861.8,2022-04-17
726,711,999.29,2023-09-10
727,77,712.72,2022-01-05
728,897,536.01,2023-06-21
729,181,422.15,2023-03-02
730,858,914.91,2023-03-10
731,60,108.73,2023-01-04
732,753,480.97,2022-10-09
733,814,668.65,2023-10-06
734,768,142.84,2022-11-19
735,35,237.29,2022-05-22
736,744,432.89,2023-02-26
737,50,410.55,2022-11-11
738,988,356.77,2022-06-05
739,364,919.18,2022-03-17
740,282,486.78,2022-03-24
741,361,206.73,2023-07-03
742,791,913.79,2023-08-06
743,92,669.38,2023-12-04
744,133,338.24,2022-08-28
745,796,86.94,2023-02-28
746,266,845.87,2022-06-18
747,448,881.29,2022-03-01
748,712,877.65,2023-10-25
749,375,198.03,2022-09-20
750,469,733.32,2022-09-03
751,232,420.37,2023-09-08
752,740,426.01,2023-11-27
753,213,542.23,2023-03-12
754,668,113.86,2022-01-26
755,534,6.04,2023-03-23
756,18,184.14,2023-04-05
757,958,510.06,2022-09-17
758,989,364.64,2023-10-01
759,949,861.12,2022-05-17
760,89,589.66,2023-04-14
761,960,91.93,2023-10-08
762,606,893.3,2023-03-21
763,395,355.57,2023-03-06
764,284,673.16,2023-03-26
765,210,21.9,2022-04-15
766,457,480.19,2022-04-01
767,440,22.07,2022-08-18
768,264,765.26,2023-11-08
769,810,759.85,2022-08-07
770,114,219.84,2023-11-08
771,588,487.45,2022-11-20
772,350,424.67,2023-11-21
773,117,781.39,2023-09-22
774,69,789.22,2023-06-29
775,393,769.37,2023-03-18
776,271,283.46,2023-06-18
777,104,540.55,2022-08-11
778,769,480.41,2023-03-22
779,632,292.09,2023-09-17
780,368,611.12,2022-08-25
781,977,336.04,2022-08-03
782,35,664.0,2022-03-17
783,390,137.74,2022-10-20
784,40,686.07,2023-02-24
785,725,383.35,2022-05-28
786,453,346.02,2023-08-09
787,50,788.07,2022-02-05
788,957,287.84,2022-05-18
789,412,191.34,2022-02-27
790,324,803.94,2022-03-02
791,221,690.63,2023-01-22
792,311,723.17,2023-11-18
793,195,106.52,2023-02-08
794,790,339.15,2023-05-14
795,426,903.64,2023-06-23
796,780,86.93,2023-02-18
797,227,176.32,2022-07-03
798,567,987.41,2022-05-07
799,438,320.52,2023-08-24
800,980,472.38,2022-09-24
801,273,620.66,2023-09-03
802,32,836.17,2023-12-25
803,65,420.49,2023-09-11
804,17,360.69,2022-11-13
805,861,617.43,2022-03-08
806,31,206.0,2022-12-19
807,701,370.72,2023-07-14
808,377,319.84,2023-03-19
809,398,133.94,2022-06-14
810,234,693.44,2023-10-20
811,304,408.13,2023-06-14
812,72,196.17,2023-08-27
813,943,692.14,2023-05-11
814,522,133.28,2023-10-28
815,132,707.45,2023-06-20
816,712,378.51,2023-03-14
817,843,230.5,2022-04-23
818,962,70.52,2023-08-26
819,286,111.48,2022-12-26
820,860,53.16,2022-03-30
821,458,47.02,2023-07-12
822,426,76.94,2023-09-05
823,210,765.29,2023-11-12
824,982,606.86,2022-06-14
825,361,760.88,2022-07-17
826,717,900.94,2022-01-03
827,624,414.05,2022-03-17
828,475,782.16,2023-02-27
829,833,458.05,2022-02-10
830,266,580.05,2022-10-22
831,732,264.84,2022-07-04
832,690,948.69,2023-08-30
833,193,784.57,2022-12-15
834,456,426.08,2023-02-02
835,795,474.68,2023-12-22
836,214,9.06,2023-02-06
837,581,66.14,2022-09-20
838,621,591.79,2022-01-16
839,483,867.5,2023-06-25
840,900,350.24,2023-04-24
841,566,524.98,2022-04-15
842,559,534.89,2022-12-10
843,741,721.68,2022-06-26
844,746,323.93,2023-06-21
845,916,382.37,2022-01-16
846,84,710.89,2022-02-05
847,857,832.89,2023-06-23
848,768,34.18,2022-08-02
849,434,627.28,2022-10-04
850,466,749.22,2022-06-25
851,985,290.53,2023-10-19
852,678,791.16,2022-08-26
853,973,692.25,2023-04-01
854,698,228.53,2023-04-12
855,520,756.79,2022-04-17
856,440,355.75,2022-06-03
857,148,815.67,2022-09-04
858,409,147.75,2022-12-31
859,886,777.61,2022-03-25
860,419,545.04,2023-04-27
861,865,637.98,2022-09-01
862,542,747.82,2022-08-27
863,616,985.97,2023-11-21
864,34,47.87,2022-04-18
865,408,580.9,2022-01-06
866,464,871.77,2023-02-20
867,210,812.85,2023-10-12
868,768,994.28,2023-07-22
869,76,559.89,2022-03-19
870,399,734.27,2022-07-10
871,194,344.82,2023-01-23
872,247,170.41,2022-03-23
873,166,363.89,2023-07-09
874,352,296.72,2023-10-01
875,206,575.82,2022-06-15
876,368,83.53,2022-07-22
877,490,177.05,2023-08-28
878,363,128.46,2023-07-30
879,919,931.86,2023-08-21
880,605,816.37,2023-11-28
881,876,905.23,2023-06-18
882,338,127.34,2023-07-21
883,999,989.81,2023-08-12
884,123,680.09,2023-08-06
885,589,248.11,2022-07-26
886,366,587.78,2022-05-23
887,860,109.09,2023-10-31
888,369,844.25,2023-05-29
889,770,667.97,2022-04-05
890,161,735.93,2022-04-06
891,479,968.59,2022-09-30
892,207,228.67,2022-04-23
893,319,377.08,2023-12-14
894,675,923.54,2022-03-17
895,628,309.97,2022-09-11
896,387,142.95,2023-11-10
897,222,126.29,2022-09-09
898,515,225.06,2022-11-17
899,223,913.38,2022-02-22
900,946,265.48,2022-03-20
901,231,221.6,2023-10-11
902,217,350.38,2023-02-25
903,543,130.85,2023-06-18
904,787,376.88,2023-03-01
905,919,730.76,2022-02-13
906,779,27.16,2022-01-17
907,194,409.03,2022-10-13
908,42,278.85,2022-11-05
909,264,520.47,2022-06-28
910,725,347.78,2022-09-25
911,587,560.78,2022-11-08
912,691,843.31,2023-11-22
913,836,675.04,2023-11-19
914,870,842.16,2023-09-15
915,51,516.08,2023-02-20
916,821,968.83,2022-08-06
917,352,361.42,2023-12-18
918,944,950.85,2022-03-18
919,855,573.77,2023-06-01
920,402,696.34,2023-05-02
921,767,281.98,2023-11-07
922,431,854.17,2023-04-17
923,376,168.61,2023-07-25
924,811,391.5,2022-08-26
925,356,203.67,2023-05-11
926,82,79.26,2022-08-01
927,20,905.83,2023-08-31
928,38,224.83,2023-02-27
929,342,344.98,2023-01-07
930,442,609.82,2023-04-26
931,734,156.37,2022-07-12
